key,rank,pattern,message
難しい,2,が難しい,どう難しいの?
難しい,2,は難しい,どうして難しいの?
難しい,0,*,なんで難しいの?
分から,2,が分から,調べてみた？
分から,2,は分から,何はわかってる？
分から,0,*,ちょっと他の事でも考えてみたら？
わから,2,がわから,調べてみた？
わから,2,はわから,何はわかってる？
わから,0,*,ちょっと他の事でも考えてみたら？
分かる,2,が分かる,それを説明してくれる？
分かる,2,は分かる,他には？
分かる,2,も分かる,それそれで？
分かる,2,だけ分かる,分からないことを上げてみて！
わかる,2,がわかる,それを説明してくれる？
わかる,2,はわかる,他には？
わかる,2,もわかる,それそれで？
わかる,2,だけわかる,分からないことを上げてみて！
おもしろい,2,はおもしろい,どう面白いの？
おもしろくない,2,はおもしろくない,他に面白いことはある？
面白い,2,は面白しろい,どう面白いの？
面白くない,2,は面白くない,他に面白いことはある？
直っ,0,*,良かった！ほかに問題はある？
直ら,0,*,うーん...何か別の作はなさそう...?
なおっ,0,*,良かった！ほかに問題はある？
なおら,0,*,うーん...何か別の作はなさそう...?
いる,2,でいる,それでどうしたいの？
いる,2,がいる,それの何が問題か教えて！
いる,2,にいる,どうすべきだと思う？
し,2,をし,何が必要そう？
し,2,がし,そのためにどうすればいい？
思う,0,*,じゃあ、それをもっとやってみるのはどう？
おもう,0,*,じゃあ、それをやってみるのはどう？
なっ,2,なくなっ,じゃあ何が必要だと思う？
教え,2,を教え,ヒントはすぐ近くにあるはず！特に何が大事かな？
見つから,0,*,別の切り口があるはず！何かな？
見つから,2,が見つから,他にも見るべきものもあるかも！視野を広げてみたらどうかな？
みつから,0,*,別の切り口があるはず！何かな？
みつから,2,がみつから,他にも見るべきものもあるかも！視野を広げてみたらどうかな？
しり,0,*,そのために必要なことは何かな？考えてみて！
知り,0,*,そのために必要なことは何かな？考えてみて！
考える,0,*,じゃあそれを試してみるのはどうかな？詰まったらまた相談してね！
かんがえる,0,*,じゃあそれを試してみるのはどうかな？詰まったらまた相談してね！
考え,0,*,じゃあそれを試してみるのはどうかな？詰まったらまた相談してね！
考え,0,*,じゃあそれを試してみるのはどうかな？詰まったらまた相談してね！
わかる,0,*,その近くにヒントは転がってない？
分かる,0,*,その近くにヒントは転がってない？
おもしろい,0,*,他には他には？
面白い,0,*,他には他には？
思い,0,*,じゃあそれをもっと深堀してみるなんてどうだろう？
おもい,0,*,じゃあそれをもっと深堀してみるなんてどうだろう？
想い,0,*,じゃあそれをもっと深堀してみるなんてどうだろう？
見え,2,が見え,他の事には着目しなくて平気？
みえ,2,がみえ,他の事には着目しなくて平気？
でき,0,*,その原因は何だと思う？
出来,0,*,その原因は何だと思う？
いい,0,*,確かに！他にも何かある？
良く,0,*,原因をもうちょっと探ってみるべきかも？
良い,0,*,確かにそうかも！逆にどういうときダメ？
いい,0,*,確かにそうかも！逆にどういうときダメ？
よい,0,*,確かにそうかも！逆にどういうときダメ？
悪い,0,*,原因は何だろう？
わるい,0,*,原因は何だろう？
いい,2,がいい,他にもいいところはある？
いい,2,はいい,ダメなところはどこだろう？
いい,2,もいい,たくさんいいところあるね！逆に悪いところってどこだろう？
良い,2,が良い,他にもいいところはある？
良い,2,は良い,ダメなところはどこだろう？
